YEAR,MO,DY,HR,T2M,PRECTOTCORR,QV2M,WS10M,ALLSKY_SRF_ALB
2016,1,15,13,30.48,0,4.64,0.99,0.12
2016,1,15,14,30.61,0,4.58,1.26,0.1
2016,1,15,15,30.16,0,4.46,1.31,0.08
2016,1,15,16,28.73,0,4.39,1.27,0.19
2016,1,15,17,24.99,0,4.33,1.89,0.18
2016,1,15,18,22.51,0,4.27,2.64,-999
2016,1,15,19,21.01,0,4.09,3.11,-999
2016,1,15,20,19.93,0,3.91,3.33,-999
2016,1,15,21,18.97,0,3.72,3.38,-999
2016,1,15,22,17.94,0,3.6,3.28,-999
2016,1,15,23,16.95,0,3.6,3.13,-999
2016,1,16,0,16.17,0,3.6,3.05,-999
2016,1,16,1,15.51,0,3.66,2.93,-999
2016,1,16,2,14.87,0,3.72,2.79,-999
2016,1,16,3,14.23,0,3.85,2.74,-999
2016,1,16,4,13.71,0,4.21,2.81,-999
2016,1,16,5,13.26,0,4.7,2.92,-999
2016,1,16,6,12.79,0,5.13,3.08,-999
2016,1,16,7,14.41,0,5.37,4.27,0.2
2016,1,16,8,17.16,0,5.49,3.82,0.1
2016,1,16,9,21.57,0,5.49,3.58,0.12
2016,1,16,10,26.02,0,5.19,2.81,0.12
2016,1,16,11,28.58,0,4.94,1.02,0.13
2016,1,16,12,29.69,0,4.82,0.14,0.16
2016,1,16,13,30.3,0,4.7,0.72,0.05
2016,1,16,14,30.32,0,4.58,0.88,0.03
2016,1,16,15,29.81,0,4.52,1.13,0.27
2016,1,16,16,28.15,0,4.46,1.12,0.17
2016,1,16,17,24.92,0,4.33,1.73,0.18
2016,1,16,18,22.9,0,4.27,2.32,-999
2016,1,16,19,21.37,0,4.21,2.78,-999
2016,1,16,20,20.16,0,4.15,3.1,-999
2016,1,16,21,19.27,0,4.15,3.24,-999
2016,1,16,22,18.48,0,4.09,3.26,-999
2016,1,16,23,17.7,0,4.09,3.26,-999
2016,1,17,0,16.93,0,4.03,3.17,-999
2016,1,17,1,16.19,0,3.97,3.02,-999
2016,1,17,2,15.51,0,3.91,2.86,-999
2016,1,17,3,14.88,0,3.85,2.74,-999
2016,1,17,4,14.31,0,3.85,2.65,-999
2016,1,17,5,13.78,0,3.78,2.58,-999
2016,1,17,6,13.3,0,3.78,2.55,-999
2016,1,17,7,15.07,0,3.85,2.9,0.19
2016,1,17,8,17.68,0,3.91,2.98,0.26
2016,1,17,9,21.42,0,3.97,2.38,0.03
2016,1,17,10,25.4,0,4.33,1.7,0.07
2016,1,17,11,27.94,0,4.82,0.61,0.08
2016,1,17,12,29.04,0,5.07,0.31,0.06
2016,1,17,13,29.66,0,5.19,1.05,0.05
2016,1,17,14,29.8,0,5.19,1.43,0.02
2016,1,17,15,29.25,0,5.13,1.39,0.27
2016,1,17,16,27.73,0,5.13,1.3,0.17
2016,1,17,17,24.18,0,4.94,1.95,0.18
2016,1,17,18,21.99,0,4.76,2.58,-999
2016,1,17,19,20.74,0,4.46,3.01,-999
2016,1,17,20,19.9,0,4.09,3.17,-999
2016,1,17,21,19.19,0,3.66,3.25,-999
2016,1,17,22,18.58,0,3.3,3.39,-999
2016,1,17,23,18.02,0,3.11,3.65,-999
2016,1,18,0,17.43,0,3.05,3.86,-999
2016,1,18,1,16.79,0,2.99,3.94,-999
2016,1,18,2,16.12,0,3.05,3.8,-999
2016,1,18,3,15.47,0,3.23,3.53,-999
2016,1,18,4,14.9,0,3.48,3.22,-999
2016,1,18,5,14.41,0,3.85,2.97,-999
